type	time	latitude	longitude	name	desc
T	2018-05-17 19:19:45	43.614108000	-70.188862000		
T	2018-05-17 19:20:08	43.615587000	-70.190290000		
T	2018-05-17 19:20:29	43.617003000	-70.191797000		
T	2018-05-17 19:20:50	43.618372000	-70.193185000		
T	2018-05-17 19:21:11	43.619702000	-70.194680000		
T	2018-05-17 19:21:32	43.621123000	-70.196048000		
T	2018-05-17 19:21:53	43.622448000	-70.197455000		
T	2018-05-17 19:22:13	43.623733000	-70.198955000		
T	2018-05-17 19:22:34	43.625053000	-70.200437000		
T	2018-05-17 19:22:56	43.626260000	-70.202157000		
T	2018-05-17 19:23:19	43.627432000	-70.203938000		
T	2018-05-17 19:23:41	43.628568000	-70.205697000		
T	2018-05-17 19:24:04	43.629900000	-70.207327000		
T	2018-05-17 19:24:27	43.631140000	-70.209017000		
T	2018-05-17 19:24:50	43.632507000	-70.210442000		
T	2018-05-17 19:25:11	43.633942000	-70.211732000		
T	2018-05-17 19:25:33	43.635512000	-70.212610000		
T	2018-05-17 19:25:54	43.637105000	-70.213345000		
T	2018-05-17 19:26:15	43.638723000	-70.214268000		
T	2018-05-17 19:26:37	43.640280000	-70.215112000		
T	2018-05-17 19:26:58	43.641867000	-70.215835000		
T	2018-05-17 19:27:19	43.643450000	-70.216572000		
T	2018-05-17 19:27:41	43.645048000	-70.217282000		
T	2018-05-17 19:28:03	43.646695000	-70.218040000		
T	2018-05-17 19:28:24	43.648347000	-70.218772000		
T	2018-05-17 19:28:51	43.649978000	-70.219378000		
T	2018-05-17 19:29:27	43.651585000	-70.220078000		
T	2018-05-17 19:30:03	43.653118000	-70.221070000		
T	2018-05-17 19:30:41	43.654613000	-70.222090000		
T	2018-05-17 19:31:20	43.656062000	-70.223290000		
T	2018-05-17 19:32:00	43.657403000	-70.224715000		
T	2018-05-17 19:32:38	43.658310000	-70.226677000		
T	2018-05-17 19:33:17	43.659260000	-70.228638000		
T	2018-05-17 19:33:57	43.659625000	-70.230935000		
T	2018-05-17 19:34:38	43.659495000	-70.233292000		
T	2018-05-17 19:35:21	43.659062000	-70.235545000		
T	2018-05-17 19:36:07	43.658417000	-70.237700000		
T	2018-05-17 19:36:57	43.657745000	-70.239815000		
T	2018-05-17 19:37:49	43.656810000	-70.241823000		
T	2018-05-17 19:38:42	43.655868000	-70.243728000		
T	2018-05-17 19:39:36	43.654808000	-70.245575000		
T	2018-05-17 19:40:31	43.653910000	-70.247548000		
T	2018-05-17 19:41:38	43.653170000	-70.249620000		
T	2018-05-18 11:31:11	43.653715000	-70.247428000		
T	2018-05-18 11:31:55	43.654618000	-70.245432000		
T	2018-05-18 11:32:34	43.655542000	-70.243443000		
T	2018-05-18 11:33:12	43.656338000	-70.241392000		
T	2018-05-18 11:33:49	43.657232000	-70.239425000		
T	2018-05-18 11:34:26	43.658137000	-70.237455000		
