type	time	latitude	longitude	name	desc
T	2018-07-18 16:55:54	43.661000000	-70.001500000		
T	2018-07-18 16:56:36	43.662000000	-69.999500000		
T	2018-07-18 16:57:15	43.663167000	-69.997667000		
T	2018-07-18 16:57:56	43.664333000	-69.996000000		
T	2018-07-18 16:58:38	43.665667000	-69.994333000		
T	2018-07-18 16:59:21	43.667167000	-69.993000000		
T	2018-07-18 17:00:03	43.668667000	-69.991667000		
T	2018-07-18 17:00:43	43.670167000	-69.990500000		
T	2018-07-18 17:01:24	43.671667000	-69.989333000		
T	2018-07-18 17:02:04	43.673167000	-69.988000000		
T	2018-07-18 17:02:44	43.674667000	-69.986833000		
T	2018-07-18 17:03:25	43.676167000	-69.985667000		
T	2018-07-18 17:04:05	43.677667000	-69.984500000		
T	2018-07-18 17:04:48	43.679167000	-69.983333000		
T	2018-07-18 17:05:36	43.680667000	-69.982167000		
T	2018-07-18 17:06:28	43.682333000	-69.981000000		
T	2018-07-18 17:07:19	43.683833000	-69.979833000		
T	2018-07-18 17:08:16	43.685333000	-69.978667000		
T	2018-07-18 17:10:52	43.686667000	-69.977167000		
T	2018-07-18 18:33:40	43.685667000	-69.979167000		
T	2018-07-18 18:34:43	43.684500000	-69.981000000		
T	2018-07-18 18:35:40	43.683833000	-69.983167000		
T	2018-07-18 18:36:37	43.683167000	-69.985500000		
T	2018-07-18 18:37:29	43.682667000	-69.987833000		
T	2018-07-18 18:38:13	43.682000000	-69.990000000		
T	2018-07-18 18:38:58	43.681333000	-69.992167000		
T	2018-07-18 18:39:39	43.680500000	-69.994167000		
T	2018-07-18 18:40:25	43.679833000	-69.996333000		
T	2018-07-18 18:41:15	43.679000000	-69.998333000		
T	2018-07-18 18:42:12	43.678333000	-70.000500000		
T	2018-07-18 18:43:03	43.677500000	-70.002500000		
T	2018-07-18 18:43:54	43.676833000	-70.004667000		
T	2018-07-18 18:44:47	43.676333000	-70.007000000		
T	2018-07-18 18:45:31	43.676667000	-70.009333000		
T	2018-07-18 18:46:13	43.676833000	-70.011667000		
T	2018-07-18 18:46:54	43.677167000	-70.014000000		
T	2018-07-18 18:47:36	43.677333000	-70.016333000		
T	2018-07-18 18:48:17	43.677667000	-70.018667000		
T	2018-07-18 18:48:59	43.678000000	-70.021000000		
T	2018-07-18 18:49:41	43.678333000	-70.023333000		
T	2018-07-18 18:50:22	43.678667000	-70.025667000		
T	2018-07-18 18:51:02	43.679167000	-70.028000000		
T	2018-07-18 18:51:43	43.679667000	-70.030333000		
T	2018-07-18 18:52:27	43.680833000	-70.032167000		
T	2018-07-18 18:53:07	43.682333000	-70.033333000		
T	2018-07-18 18:53:48	43.684000000	-70.033833000		
T	2018-07-18 18:54:27	43.685667000	-70.033500000		
T	2018-07-18 18:55:11	43.687333000	-70.032833000		
T	2018-07-18 18:55:56	43.689000000	-70.032333000		
T	2018-07-18 18:56:43	43.690667000	-70.031500000		
T	2018-07-18 18:57:29	43.692333000	-70.030833000		
T	2018-07-18 18:58:16	43.694000000	-70.029833000		
T	2018-07-18 18:59:05	43.695667000	-70.028833000		
T	2018-07-18 18:59:53	43.697333000	-70.027833000		
T	2018-07-18 19:00:41	43.699000000	-70.027000000		
T	2018-07-18 19:01:29	43.700667000	-70.026000000		
T	2018-07-18 19:02:18	43.702333000	-70.025000000		
T	2018-07-18 19:03:07	43.704000000	-70.024000000		
T	2018-07-18 19:03:56	43.705667000	-70.023000000		
T	2018-07-18 19:04:44	43.707333000	-70.022000000		
T	2018-07-18 19:05:32	43.709000000	-70.021000000		
T	2018-07-18 19:06:19	43.710667000	-70.020000000		
T	2018-07-18 19:07:06	43.712333000	-70.019167000		
T	2018-07-18 19:07:53	43.714000000	-70.018167000		
T	2018-07-18 19:08:37	43.715667000	-70.017333000		
T	2018-07-18 19:09:23	43.717333000	-70.016333000		
T	2018-07-18 19:10:11	43.719000000	-70.015333000		
T	2018-07-18 19:10:58	43.720667000	-70.014333000		
T	2018-07-18 19:11:43	43.722333000	-70.013500000		
T	2018-07-18 19:12:25	43.723833000	-70.012333000		
T	2018-07-18 19:13:08	43.725333000	-70.011167000		
T	2018-07-18 19:13:51	43.727000000	-70.010167000		
T	2018-07-18 19:14:37	43.728667000	-70.009167000		
T	2018-07-18 19:15:21	43.730167000	-70.007833000		
T	2018-07-18 19:16:08	43.731833000	-70.006833000		
T	2018-07-18 19:16:56	43.733500000	-70.005833000		
T	2018-07-18 19:17:40	43.735000000	-70.004667000		
T	2018-07-18 19:18:26	43.736667000	-70.003667000		
T	2018-07-18 19:19:13	43.738333000	-70.002667000		
T	2018-07-18 19:19:58	43.740000000	-70.001833000		
T	2018-07-18 19:20:46	43.741667000	-70.000833000		
T	2018-07-18 19:21:32	43.743167000	-69.999667000		
T	2018-07-18 19:22:18	43.744833000	-69.998667000		
T	2018-07-18 19:23:03	43.746333000	-69.997500000		
T	2018-07-18 19:23:49	43.748000000	-69.996500000		
T	2018-07-18 19:24:37	43.749667000	-69.995500000		
T	2018-07-18 19:25:24	43.751333000	-69.994500000		
T	2018-07-18 19:26:11	43.753000000	-69.993500000		
T	2018-07-18 19:26:57	43.754667000	-69.992667000		
T	2018-07-18 19:27:42	43.756333000	-69.992000000		
T	2018-07-18 19:28:28	43.758000000	-69.991167000		
T	2018-07-18 19:29:15	43.759667000	-69.990167000		
T	2018-07-18 19:30:02	43.761333000	-69.989333000		
T	2018-07-18 19:30:49	43.763000000	-69.988167000		
T	2018-07-18 19:31:36	43.764333000	-69.986667000		
T	2018-07-18 19:32:24	43.765500000	-69.984833000		
T	2018-07-18 19:33:10	43.766500000	-69.982833000		
T	2018-07-18 19:33:53	43.767833000	-69.981333000		
T	2018-07-18 19:34:40	43.769167000	-69.979833000		
T	2018-07-18 19:35:29	43.770667000	-69.978500000		
T	2018-07-18 19:36:18	43.772333000	-69.977500000		
T	2018-07-18 19:37:03	43.774000000	-69.977000000		
