,Gulf Challenger Harpswell,2018-05-17 15:53:21,2018-05-19 21:13:48
,ifcbfile,latitude,longitude
269,D20180519T162050_IFCB009.hdr,43.69226721052632,-70.00333905263157
270,D20180519T162819_IFCB009.hdr,43.70292108779443,-70.02293786509637
271,D20180519T163548_IFCB009.hdr,43.70350623728814,-70.0252272
272,D20180519T164317_IFCB009.hdr,43.709944,-70.02208878571429
273,D20180519T165046_IFCB009.hdr,43.74367670833333,-69.999456625
274,D20180519T165815_IFCB009.hdr,43.75988578048781,-69.9890290487805
275,D20180519T170544_IFCB009.hdr,43.762446613953486,-69.9886921767442
276,D20180519T171312_IFCB009.hdr,43.77287055813954,-69.97856709302326
277,D20180519T172041_IFCB009.hdr,43.79271952777778,-69.96627840972222
278,D20180519T172810_IFCB009.hdr,43.79381677108434,-69.96448353012048
279,D20180519T173539_IFCB009.hdr,43.794378997471554,-69.96052544753476
280,D20180519T174308_IFCB009.hdr,43.793855069532235,-69.95941969279393
281,D20180519T175037_IFCB009.hdr,43.79394336531365,-69.95943033948339
282,D20180519T175806_IFCB009.hdr,43.78798,-69.971509
283,D20180519T180535_IFCB009.hdr,43.765748263157896,-69.98656957894737
284,D20180519T181304_IFCB009.hdr,43.74573652380952,-69.9990488095238
285,D20180519T182033_IFCB009.hdr,43.71257252380953,-70.02143152380953
286,D20180519T182802_IFCB009.hdr,43.68130961904762,-70.0491868095238
287,D20180519T183531_IFCB009.hdr,43.65003038095238,-70.07758623809524
288,D20180519T184300_IFCB009.hdr,43.6187044,-70.1062535
289,D20180519T185029_IFCB009.hdr,43.58738405263158,-70.13492605263157
290,D20180519T185758_IFCB009.hdr,43.55635927272727,-70.16357822727272
291,D20180519T190526_IFCB009.hdr,43.52783925,-70.19670454999999
292,D20180519T191256_IFCB009.hdr,43.49508355,-70.2241351
293,D20180519T192025_IFCB009.hdr,43.462406,-70.251723
294,D20180519T192754_IFCB009.hdr,43.42963594736842,-70.27899352631579
295,D20180519T193523_IFCB009.hdr,43.396597,-70.306594
296,D20180519T194251_IFCB009.hdr,43.363661,-70.3341058
297,D20180519T195020_IFCB009.hdr,43.33048519047619,-70.36178014285714
